fen,line,depth,knodes,cp,mate
8/8/8/1K3kPp/8/P7/8/8 w - -,b5c4 h5h4 c4d4 h4h3 a3a4 h3h2 a4a5 h2h1q d4c5 f5g5,36,6270,,-15.0
8/4K3/6BB/8/8/6B1/4k3/4B3 w - -,e7e6 e2d1 g6e4 d1e2 e4c2 e2f1 e1f2 f1e2 e6f5 e2f3,38,1533,,8.0
r1b2rk1/pppn2pp/2nbpq2/3p4/3P4/1NP2N2/PP2BPPP/R1BQ1RK1 b - -,a7a5 c1e3 h7h6 b3c5 c6e7 c5d7 c8d7 e2d3 e7c6 d3c2,26,32841,0.0,
8/8/8/8/8/1K6/R7/1kr5 b - -,c1c8 a2g2 b1c1 b3b4 c8b8 b4a5 c1d1 a5a6 d1c1 a6a7,28,2033,0.0,
2bq1r1k/rp4pp/p1p3n1/5p2/3P4/1BP2N1P/PP1Q2P1/R4RK1 b - -,b7b6 a1e1 a6a5 f3e5 g6e5 e1e5 a7e7 d2f4 e7e8 f1e1,24,44859,102.0,
r4r1k/6bp/1qbP1np1/N3B1N1/4P3/6P1/5PBP/RR4K1 b - -,c6b5 g5e6 a8a5 e6f8 f6g4 a1a5 b6a5 b1a1 b5a4 e5g7,26,139412,-251.0,
5rk1/5ppp/N2b4/p4p2/2pP4/2P1P1P1/2q2PKP/QR6 b - -,c2e4 g2g1 h7h5 b1b6 d6e7 a6b8 e7d8 b6b2 h5h4 b8d7,20,17979,-18.0,
8/8/6K1/8/7p/8/R7/6k1 b - -,g1f1 g6g5 f1e1 g5f4 e1d1 a2h2 d1e1 f4e3 e1f1 h2h4,50,147179,,10.0
r1bqkb1r/pp1p1ppp/2n2n2/1B2p3/Q3P3/2N5/PPP2PPP/R1B1K1NR b KQkq -,a7a6 b5c6 d7c6 a4c4 b7b5 c4d3 d8c7 g1e2 f8e7 e1h1,33,61823,-69.0,
r3kbnr/pp1qpppp/2p5/5b2/3P4/2N5/PPP1BPPP/R1BQK2R w KQkq -,d4d5 g8f6 d5c6 b7c6 e1h1 e7e6 e2f3 a8c8 d1d7 f6d7,19,5185,39.0,
