fen,depth,cp,mate
1n3r2/r1q1pkb1/p1ppR1pp/3n4/R3N1B1/8/1PP1QPPP/2B3K1 w - -,24,407.0,
1k4rr/1p1bbp2/pq1ppp2/n2N3p/4PP2/1N3R2/PPPQ2PP/1K1R1B2 b - -,20,150.0,
1Q5Q/8/2K5/8/6k1/8/8/8 w - -,99,,3.0
1R6/8/2Q5/5k2/8/4K3/8/8 w - -,20,,2.0
1r2r1k1/p1R3pp/3p1p2/6NQ/1n6/4P3/q1P2PPP/5RK1 b - -,19,545.0,
1k6/8/3b4/PP1B1p2/K4p2/5P2/8/8 b - -,50,,13.0
2b5/1p2rnkp/p1pp2r1/5p2/2P2Pp1/1P2P1PP/P1NR1KB1/3R4 w - -,21,112.0,
1r3r2/2p3bk/p2pb2p/1p2q3/2P4p/1P1PB1P1/P2Q1RB1/2R3K1 w - -,35,-4.0,
2b1rn1r/4k2P/1p2p1p1/1P1pP3/p2P4/P2B1Q2/2P5/2B3K1 w - -,26,,3.0
1qr3k1/r3bp2/p1n1R1p1/1ppQ4/2P2P2/2N3P1/PP3PB1/R5K1 b - -,26,278.0,
